2023-01-01,Meama Space • Tbilisi Mall,Morning,4
2023-01-01,Meama Space • Tbilisi Mall,Afternoon,2
2023-01-01,Meama Space • Tbilisi Mall,Evening,10
2023-01-01,Meama Space • City Mall,Morning,2
2023-01-01,Meama Space • City Mall,Afternoon,9
2023-01-01,Meama Space • City Mall,Evening,2
2023-01-01,Meama Space • East Point,Morning,9
2023-01-01,Meama Space • East Point,Afternoon,3
2023-01-01,Meama Space • East Point,Evening,5
2023-01-01,Meama Collect • Gori,Morning,4
2023-01-01,Meama Collect • Gori,Afternoon,9
2023-01-01,Meama Collect • Gori,Evening,2
2023-01-01,Meama Collect • Beliashvili,Morning,5
2023-01-01,Meama Collect • Beliashvili,Afternoon,2
2023-01-01,Meama Collect • Beliashvili,Evening,9
2023-01-01,Meama Collect • Abashidze,Morning,8
2023-01-01,Meama Collect • Abashidze,Afternoon,9
2023-01-01,Meama Collect • Abashidze,Evening,8
2023-01-01,Meama Collect • Rustavi,Morning,9
2023-01-01,Meama Collect • Rustavi,Afternoon,5
2023-01-01,Meama Collect • Rustavi,Evening,4
2023-01-01,Meama Collect • Sheni Saxli Jiqia,Morning,10
2023-01-01,Meama Collect • Sheni Saxli Jiqia,Afternoon,5
2023-01-01,Meama Collect • Sheni Saxli Jiqia,Evening,3
2023-01-01,Meama Collect • Paliashvili Street,Morning,3
2023-01-01,Meama Collect • Paliashvili Street,Afternoon,9
2023-01-01,Meama Collect • Paliashvili Street,Evening,10
2023-01-01,Meama Collect • Abashidze Street,Morning,9
2023-01-01,Meama Collect • Abashidze Street,Afternoon,3
2023-01-01,Meama Collect • Abashidze Street,Evening,5
2023-01-01,Meama Collect • Kartozia Street,Morning,4
2023-01-01,Meama Collect • Kartozia Street,Afternoon,8
2023-01-01,Meama Collect • Kartozia Street,Evening,8
2023-01-01,Meama Collect • Bukia Garden,Morning,10
2023-01-01,Meama Collect • Bukia Garden,Afternoon,3
2023-01-01,Meama Collect • Bukia Garden,Evening,3
2023-01-01,Meama Collect • Batumi,Morning,9
2023-01-01,Meama Collect • Batumi,Afternoon,4
2023-01-01,Meama Collect • Batumi,Evening,10
2023-01-01,Meama Collect • Digomi,Morning,9
2023-01-01,Meama Collect • Digomi,Afternoon,6
2023-01-01,Meama Collect • Digomi,Evening,8
2023-01-01,Meama Collect • Lisi,Morning,3
2023-01-01,Meama Collect • Lisi,Afternoon,2
2023-01-01,Meama Collect • Lisi,Evening,9
2023-01-01,Meama Collect • Turtle Lake,Morning,2
2023-01-01,Meama Collect • Turtle Lake,Afternoon,3
2023-01-01,Meama Collect • Turtle Lake,Evening,2
2023-01-01,Meama Collect • Dedaena,Morning,4
2023-01-01,Meama Collect • Dedaena,Afternoon,3
2023-01-01,Meama Collect • Dedaena,Evening,2
2023-01-02,Meama Space • Tbilisi Mall,Morning,6
2023-01-02,Meama Space • Tbilisi Mall,Afternoon,3
2023-01-02,Meama Space • Tbilisi Mall,Evening,7
2023-01-02,Meama Space • City Mall,Morning,5
2023-01-02,Meama Space • City Mall,Afternoon,3
2023-01-02,Meama Space • City Mall,Evening,10
2023-01-02,Meama Space • East Point,Morning,8
2023-01-02,Meama Space • East Point,Afternoon,2
2023-01-02,Meama Space • East Point,Evening,4
2023-01-02,Meama Collect • Gori,Morning,9
2023-01-02,Meama Collect • Gori,Afternoon,2
2023-01-02,Meama Collect • Gori,Evening,5
2023-01-02,Meama Collect • Beliashvili,Morning,7
2023-01-02,Meama Collect • Beliashvili,Afternoon,8
2023-01-02,Meama Collect • Beliashvili,Evening,8
2023-01-02,Meama Collect • Abashidze,Morning,9
2023-01-02,Meama Collect • Abashidze,Afternoon,3
2023-01-02,Meama Collect • Abashidze,Evening,10
2023-01-02,Meama Collect • Rustavi,Morning,6
2023-01-02,Meama Collect • Rustavi,Afternoon,4
2023-01-02,Meama Collect • Rustavi,Evening,10
2023-01-02,Meama Collect • Sheni Saxli Jiqia,Morning,4
2023-01-02,Meama Collect • Sheni Saxli Jiqia,Afternoon,4
2023-01-02,Meama Collect • Sheni Saxli Jiqia,Evening,9
2023-01-02,Meama Collect • Paliashvili Street,Morning,5
2023-01-02,Meama Collect • Paliashvili Street,Afternoon,6
2023-01-02,Meama Collect • Paliashvili Street,Evening,7
2023-01-02,Meama Collect • Abashidze Street,Morning,3
2023-01-02,Meama Collect • Abashidze Street,Afternoon,6
2023-01-02,Meama Collect • Abashidze Street,Evening,10
2023-01-02,Meama Collect • Kartozia Street,Morning,5
2023-01-02,Meama Collect • Kartozia Street,Afternoon,2
2023-01-02,Meama Collect • Kartozia Street,Evening,3
2023-01-02,Meama Collect • Bukia Garden,Morning,4
2023-01-02,Meama Collect • Bukia Garden,Afternoon,3
2023-01-02,Meama Collect • Bukia Garden,Evening,9
2023-01-02,Meama Collect • Batumi,Morning,7
2023-01-02,Meama Collect • Batumi,Afternoon,2
2023-01-02,Meama Collect • Batumi,Evening,7
2023-01-02,Meama Collect • Digomi,Morning,2
2023-01-02,Meama Collect • Digomi,Afternoon,3
2023-01-02,Meama Collect • Digomi,Evening,5
2023-01-02,Meama Collect • Lisi,Morning,8
2023-01-02,Meama Collect • Lisi,Afternoon,9
2023-01-02,Meama Collect • Lisi,Evening,9
2023-01-02,Meama Collect • Turtle Lake,Morning,8
2023-01-02,Meama Collect • Turtle Lake,Afternoon,6
2023-01-02,Meama Collect • Turtle Lake,Evening,6
2023-01-02,Meama Collect • Dedaena,Morning,2
2023-01-02,Meama Collect • Dedaena,Afternoon,5
2023-01-02,Meama Collect • Dedaena,Evening,8
2023-01-03,Meama Space • Tbilisi Mall,Morning,5
2023-01-03,Meama Space • Tbilisi Mall,Afternoon,10
2023-01-03,Meama Space • Tbilisi Mall,Evening,4
2023-01-03,Meama Space • City Mall,Morning,4
2023-01-03,Meama Space • City Mall,Afternoon,10
2023-01-03,Meama Space • City Mall,Evening,10
2023-01-03,Meama Space • East Point,Morning,5
2023-01-03,Meama Space • East Point,Afternoon,10
2023-01-03,Meama Space • East Point,Evening,9
