1,2023-01-21 02:07:00,2023-01-21,Meama Collect • Sheni Saxli Jiqia,Barberry,1,6.69,6.69,App,10% Discount,Snowy,New Year
2,2024-04-13 14:26:00,2024-04-13,Meama Space • Tbilisi Mall,blue 05,1,2.32,2.32,App,Bundle Offer,Cloudy,New Year
3,2024-04-29 01:41:00,2024-04-29,Meama Collect • Abashidze Street,espresso machine,2,7.37,14.74,Cash,None,Cloudy,Easter
4,2023-03-27 03:43:00,2023-03-27,Meama Collect • Rustavi,Metal cup,1,6.78,6.78,Card,None,Cloudy,Easter
5,2024-04-27 15:23:00,2024-04-27,Meama Collect • Batumi,Guatemala 07,2,8.09,16.18,App,10% Discount,Snowy,Independence Day
6,2024-07-09 00:37:00,2024-07-09,Meama Collect • Lisi,Mountain Raspberry,3,3.42,10.26,Card,10% Discount,Rainy,None
7,2023-10-09 10:50:00,2023-10-09,Meama Collect • Batumi,Caramel,3,8.35,25.05,App,Bundle Offer,Snowy,None
8,2025-04-06 23:46:00,2025-04-06,Meama Collect • Beliashvili,Creme Brulee,2,9.37,18.74,Cash,Bundle Offer,Cloudy,None
9,2024-05-05 09:32:00,2024-05-05,Meama Collect • Paliashvili Street,Classic Green,3,7.17,21.51,Card,None,Cloudy,New Year
10,2023-02-18 04:28:00,2023-02-18,Meama Collect • Kartozia Street,Double walled glass,2,4.45,8.9,App,10% Discount,Sunny,Easter
11,2025-02-22 04:01:00,2025-02-22,Meama Collect • Dedaena,Macapuno Coconut,1,5.8,5.8,Card,None,Rainy,New Year
12,2025-08-31 10:55:00,2025-08-31,Meama Collect • Bukia Garden,El Salvador 04,3,3.72,11.16,Card,10% Discount,Cloudy,New Year
13,2024-10-23 01:20:00,2024-10-23,Meama Collect • Rustavi,espresso machine,1,6.77,6.77,Card,None,Cloudy,Independence Day
14,2024-01-11 02:39:00,2024-01-11,Meama Space • East Point,El Salvador 04,3,8.98,26.94,Card,None,Rainy,None
15,2025-07-19 21:09:00,2025-07-19,Meama Space • City Mall,Coffee with Multivitamin,3,4.48,13.44,Cash,10% Discount,Sunny,New Year
16,2023-09-28 19:26:00,2023-09-28,Meama Collect • Turtle Lake,Brazil,2,2.48,4.96,App,10% Discount,Snowy,Easter
17,2023-07-02 02:39:00,2023-07-02,Meama Space • East Point,Metal cup,3,4.86,14.58,Cash,Bundle Offer,Cloudy,Independence Day
18,2024-03-07 07:42:00,2024-03-07,Meama Space • City Mall,Macapuno Coconut,2,6.01,12.02,Cash,None,Cloudy,Easter
19,2025-08-15 23:39:00,2025-08-15,Meama Collect • Beliashvili,Colombia 03,3,6.75,20.25,App,10% Discount,Sunny,New Year
20,2024-10-18 07:55:00,2024-10-18,Meama Collect • Paliashvili Street,Caramel,1,7.54,7.54,App,Bundle Offer,Rainy,New Year
21,2024-11-30 09:09:00,2024-11-30,Meama Collect • Abashidze Street,Chocolate Bar,2,3.51,7.02,Card,None,Snowy,New Year
22,2024-08-08 06:57:00,2024-08-08,Meama Space • City Mall,Barberry,3,4.22,12.66,App,10% Discount,Rainy,New Year
23,2023-06-16 12:12:00,2023-06-16,Meama Space • Tbilisi Mall,Caramel,1,9.74,9.74,App,Bundle Offer,Rainy,New Year
24,2025-07-20 17:39:00,2025-07-20,Meama Space • East Point,Ethiopia,3,7.51,22.53,Card,None,Cloudy,None
25,2024-02-14 19:04:00,2024-02-14,Meama Collect • Paliashvili Street,Chai Latte,1,5.93,5.93,Card,None,Cloudy,Easter
26,2024-10-22 06:15:00,2024-10-22,Meama Space • City Mall,Mountain Raspberry,1,4.72,4.72,App,Bundle Offer,Cloudy,New Year
27,2023-11-30 23:56:00,2023-11-30,Meama Collect • Paliashvili Street,Strawberry Kiwi,2,7.73,15.46,Cash,None,Cloudy,New Year
28,2025-08-06 02:30:00,2025-08-06,Meama Collect • Dedaena,Classic Green,1,7.0,7.0,App,10% Discount,Rainy,Independence Day
29,2024-03-20 09:33:00,2024-03-20,Meama Collect • Paliashvili Street,green 07,2,5.29,10.58,Card,None,Cloudy,Independence Day
30,2023-05-20 01:16:00,2023-05-20,Meama Collect • Bukia Garden,Earl gray green,2,5.6,11.2,App,10% Discount,Sunny,None
31,2023-09-28 05:23:00,2023-09-28,Meama Collect • Sheni Saxli Jiqia,Buckthorn & Ginger,3,7.5,22.5,Cash,None,Cloudy,Easter
